geocode,etiqueta,granularidad,gcd_iata,gcd_icao,longitud,latitud,geohash
CO_SKCL,Aeropuerto Internacional Alfonso Bonilla Aragon,AEROPUERTOS,CLO,SKCL,-76.3816,3.54322,d29sjvh8g8
CO_SKRG,Aeropuerto Internacional Jose Maria Córdova,AEROPUERTOS,MDE,SKRG,-75.4231,6.16454,d3475dnx43
CO_SKYP,Aeropuerto de El Yopal,AEROPUERTOS,EYP,SKYP,-72.384,5.31911,d2uw2b7d49
CR_MRBC,Aeropuerto de Barra del Colorado,AEROPUERTOS,BCL,MRBC,-83.585602,10.7687,d1ut3bqu4r
CR_MRLB,Aeropuerto Internacional Daniel Oduber Quiros,AEROPUERTOS,LIR,MRLB,-85.544403,10.5933,d1ghm2kqqy
CR_MROC,Aeropuerto Internacional Juan Santamaria,AEROPUERTOS,SJO,MROC,-84.208801,9.99386,d1u0gg342w
CR_MRPV,Aeropuerto Internacional Tobias Bolanos,AEROPUERTOS,SYQ,MRPV,-84.139801,9.95705,d1u0tkek08
CU_MUCA,Aeropuerto de Maximo Gomez,AEROPUERTOS,AVI,MUCA,-78.789597,22.0271,d5zvr1gjjm
CU_MUCL,Aeropuerto Internacional Vilo Acuña,AEROPUERTOS,CYO,MUCL,-81.545998,21.616501,d5y4brhj0x
CU_MUCU,Aeropuerto Internacional Antonio Maceo,AEROPUERTOS,SCU,MUCU,-75.835403,19.969801,d7d1d76ke0
CU_MUHA,Aeropuerto Internacional José Martí,AEROPUERTOS,HAV,MUHA,-82.409103,22.989201,dhj6u9p9b9
CU_MUHG,Aeropuerto Internacional Frank Pais,AEROPUERTOS,HOG,MUHG,-76.315102,20.785601,d79wprvhch
CU_MUOC,Aeropuerto de Cayo Coco,AEROPUERTOS,,MUOC,-78.511002,22.513201,dk00j6qhch
CU_MUSC,Aeropuerto de Abel Santamaria,AEROPUERTOS,SNU,MUSC,-79.943604,22.492201,d5zpuydfe4
CU_MUVR,Aeropuerto Internacional Juan Gualberto Gomez,AEROPUERTOS,VRA,MUVR,-81.435303,23.034401,dhn54ck95g
CU_MUZG,Aeropuerto de Zaragoza,AEROPUERTOS,,MUZG,,,
CV_GVAC,Aeropuerto Internacional Amílcar Cabral,AEROPUERTOS,SID,GVAC,-22.9494,16.7414,e6zxjz8v8p
CV_GVAN,Aeropuerto de Agostinho Neto,AEROPUERTOS,NTO,GVAN,-25.090599,17.202801,e7n1v59tdd
CV_GVBA,Aeropuerto de Rabil,AEROPUERTOS,BVC,GVBA,-22.888901,16.136499,e6zez1sccv
CV_GVNP,Aeropuerto Internacional Praia,AEROPUERTOS,RAI,GVNP,-23.4935,14.9245,e6xkckut9b
CV_GVSV,Aeropuerto de São Pedro,AEROPUERTOS,VXE,GVSV,-25.0553,16.8332,e6ypvb7k3p
